,n_table,name,report,structureWithDailyNumbers,structureWithPopulation,values
0,1.0,Table,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[1]
1,1.0,COVID,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[0, 19]"
2,1.0,Data as,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 2020]"
3,1.0,Hubei,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[5917, 570, 64, 34, 66907, 2761]"
4,1.0,Guangdong,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[11346, 0, 1, 0, 1349, 7]"
5,1.0,Henan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[9605, 0, 0, 1, 1272, 22]"
6,1.0,Zhejiang,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[5737, 0, 0, 0, 1205, 1]"
7,1.0,Hunan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[6899, 0, 0, 0, 1018, 4]"
8,1.0,Anhui,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[6324, 0, 0, 0, 990, 6]"
9,1.0,Jiangxi,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[4648, 0, 0, 0, 935, 1]"
10,1.0,Shandong,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[10047, 0, 0, 0, 756, 6]"
11,1.0,Jiangsu,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[8051, 0, 0, 0, 631, 0]"
12,1.0,Chongqing,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3102, 0, 6, 0, 576, 6]"
13,1.0,Sichuan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[8341, 0, 1, 0, 538, 3]"
14,1.0,Heilongjiang,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3773, 0, 0, 0, 480, 13]"
15,1.0,Beijing,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2154, 2, 18, 0, 413, 8]"
16,1.0,Shanghai,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2424, 0, 10, 0, 337, 3]"
17,1.0,Hebei,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[7556, 0, 0, 0, 318, 6]"
18,1.0,Fujian,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3941, 0, 0, 0, 296, 1]"
19,1.0,Guangxi,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[4926, 0, 0, 0, 252, 2]"
20,1.0,Shaanxi,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3864, 0, 0, 0, 245, 1]"
21,1.0,Yunnan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[4830, 0, 0, 0, 174, 2]"
22,1.0,Hainan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[934, 0, 3, 0, 168, 5]"
23,1.0,Guizhou,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3600, 0, 0, 0, 146, 2]"
24,1.0,Tianjin,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1560, 0, 11, 0, 136, 3]"
25,1.0,Shanxi,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3718, 0, 0, 0, 133, 0]"
26,1.0,Liaoning,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[4359, 1, 11, 0, 122, 1]"
27,1.0,Hong Kong SAR,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[745, 1, 0, 0, 95, 2]"
28,1.0,Jilin,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2704, 0, 6, 0, 93, 1]"
29,1.0,Gansu,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2637, 0, 0, 0, 91, 2]"
30,1.0,Xinjiang,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2487, 0, 0, 0, 76, 3]"
31,1.0,Inner Mongolia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2534, 0, 0, 0, 75, 0]"
32,1.0,Ningxia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[688, 0, 1, 0, 73, 0]"
33,1.0,Taipei and environs,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2359, 5, 0, 0, 39, 1]"
34,1.0,Qinghai,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[603, 0, 0, 0, 18, 0]"
35,1.0,Macao SAR,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[66, 0, 0, 0, 10, 0]"
36,1.0,Xizang,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[344, 0, 0, 0, 1, 0]"
37,1.0,Total,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[142823, 579, 132, 35, 79968, 2873]"
38,2.0,Table,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[2]
39,2.0,laboratory,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
40,2.0,COVID,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[0, 19]"
41,2.0,. Data as of,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 2020]"
42,2.0,Republic of Korea,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3736, 18]"
43,2.0,transmission,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
44,2.0,Japan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[239, 5, 0]"
45,2.0,Singapore,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[102, 0, 0]"
46,2.0,Australia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[25, 0, 0]"
47,2.0,Malaysia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[24, 0, 2]"
48,2.0,Viet Nam,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[16, 0, 17]"
49,2.0,Philippines,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 1, 26]"
50,2.0,Cambodia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 34]"
51,2.0,New Zealand,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 2]"
52,2.0,Italy,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1128, 29, 0]"
53,2.0,France,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[100, 2, 0]"
54,2.0,Germany,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[57, 0, 1]"
55,2.0,Spain,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[45, 0, 0]"
56,2.0,The United Kingdom,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[23, 0, 0]"
57,2.0,Switzerland,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[18, 0, 0]"
58,2.0,Norway,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[15, 0, 0]"
59,2.0,Sweden,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[13, 0, 0]"
60,2.0,Austria,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[10, 0, 0]"
61,2.0,Croatia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[7, 0, 0]"
62,2.0,Israel,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[7, 0, 0]"
63,2.0,Netherlands,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[7, 0, 0]"
64,2.0,Azerbaijan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 0, 0]"
65,2.0,Denmark,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 0]"
66,2.0,only,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
67,2.0,Georgia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 0, 0]"
68,2.0,Greece,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 0, 2]"
69,2.0,Romania,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 0, 1]"
70,2.0,Finland,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 0, 4]"
71,2.0,Russian Federation,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 0, 30]"
72,2.0,Belarus,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 2]"
73,2.0,Belgium,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 26]"
74,2.0,Estonia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 3]"
75,2.0,Ireland,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 0]"
76,2.0,Lithuania,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 2]"
77,2.0,Monaco,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0]"
78,2.0,Under investigation,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
79,2.0,North Macedonia,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 4]"
80,2.0,San Marino,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 1]"
